Song,Uri,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Summer Of '69,0GONea6G2XdnHWjNZd6zt3,Bryan Adams,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131
Mary On A Cross,2HZLXBOnaSRhXStMLrq9fD,Ghost,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02
"Paint It, Black",63T7DJ1AFDD6Bn8VzG6JE8,The Rolling Stones,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691
Back In Black,08mG3Y1vljYA6bvDt4Wqkj,AC/DC,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
I Was Made For Lovin' You,07q0QVgO56EorrSGHC48y3,KISS,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373
Sex on Fire,0ntQJM78wzOLVeCUAW7Y45,Kings of Leon,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398
All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,blink-182,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726
Basket Case,6L89mwZXSOwYl76YXfX13s,Green Day,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064
Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,Lynyrd Skynyrd,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798
The Middle,6GG73Jik4jUlQCkKg9JuGO,Jimmy Eat World,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152
Otherside,64BbK9SFKH2jk86U3dGj2P,Red Hot Chili Peppers,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229
Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8,Guns N' Roses,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544
How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,Nickelback,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094
Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009
Killing In The Name,59WN2psjkt1tyaxjspN8fp,Rage Against The Machine,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785
Hold the Line,4aVuWgvD0X63hcOCnZtNFA,TOTO,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556
One Step Closer,3K4HG9evC7dg3N0R9cYqk4,Linkin Park,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136
Wind Of Change,3ovjw5HZZv43SxTwApooCM,Scorpions,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505
Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,The Clash,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375
American Idiot,6nTiIhLmQ3FWhvrGafw2zj,Green Day,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113
November Rain,3YRCqOhFifThpSRFJ1VWFM,Guns N' Roses,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759
Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,Nirvana,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
Where Is My Mind? - Remastered,7wCmS9TTVUcIhRalDYFgPy,Pixies,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334
The Pretender,7x8dCjCr0x6x2lXKujYD34,Foo Fighters,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984
Island In The Sun,2MLHyLy5z5l5YRp7momlgw,Weezer,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623
Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,Van Halen,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981
Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,Jet,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046
Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,Soundgarden,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435
Come As You Are,4P5KoWXOxwuobLmHXLMobV,Nirvana,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125
Free Fallin',5tVA6TkbaAH9QMITTQRrNv,Tom Petty,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383
Paradise City,6eN1f9KNmiWEhpE2RhQqB5,Guns N' Roses,0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315
1979 - Remastered 2012,5QLHGv0DfpeXLNFo7SFEy1,The Smashing Pumpkins,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879
(I Can't Get No) Satisfaction - Mono Version,2PzU4IB8Dr6mxV3lHuaG34,The Rolling Stones,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302
Self Esteem,1FkoVC85Ds3mFoK0fVqEqP,The Offspring,0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56
Enter Sandman (Remastered),3VqHuw0wFlIHcIPWkhIbdQ,Metallica,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296
The Kill,0lP4HYLmvowOKdsQ7CVkuq,Thirty Seconds To Mars,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99
Whole Lotta Love - 1990 Remaster,0hCB0YR03f6AmQaHbwWDe8,Led Zeppelin,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74
The Boys Of Summer,4gvea7UlDkAvsJBPZAd4oB,Don Henley,0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941
All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,Jimi Hendrix,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253
Rock And Roll All Nite,6KTv0Z8BmVqM7DPxbGzpVC,KISS,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774
Best of You,5FZxsHWIvUsmSK1IAvm2pp,Foo Fighters,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198
Baba O'Riley,3qiyyUfYe7CRYLucrPmulD,The Who,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292
We Built This City,6OnfBiiSc9RGKiBKKtZXgQ,Starship,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091
Alive,1L94M3KIu7QluZe63g64rv,Pearl Jam,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009
No Rain,6txWz9UapYHVxEd7dDIHXT,Blind Melon,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117
Smooth Criminal,5z6xHjCZr7a7AIcy8sPBKy,Alien Ant Farm,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928
The Power Of Love,2olVm1lHicpveMAo4AUDRB,Huey Lewis & The News,0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773
Bullet With Butterfly Wings - Remastered 2012,6GtX0jaNL8IjVQfrDBx81z,The Smashing Pumpkins,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864
Would? (2022 Remaster),5sFDReWLrZHLFZFjHsjUTS,Alice In Chains,0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36e-05,0.091,0.586,100.675
We Didn't Start the Fire,3Cx4yrFaX8CeHwBMReOWXI,Billy Joel,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024
Bulls On Parade,0tZ3mElWcr74OOhKEiNz1x,Rage Against The Machine,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367
Barracuda,4KfSdst7rW39C0sfhArdrz,Heart,0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145
The Boys Are Back In Town,43DeSV93pJPT4lCZaWZ6b1,Thin Lizzy,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823
Take A Look Around,2avKuMN2QXkaG9vvHa2JLt,Limp Bizkit,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968
Are You Gonna Go My Way,45Ia1U4KtIjAPPU7Wv1Sea,Lenny Kravitz,0.619,0.67,11,-10.322,0,0.0353,0.00165,0.0109,0.331,0.777,129.269
Sabotage,0Puj4YlTm6xNzDDADXHMI9,Beastie Boys,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131
Lonely Boy,5G1sTBGbZT5o4PNRc75RKI,The Black Keys,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3
Sharp Dressed Man - 2008 Remaster,1UBQ5GK8JaQjm5VbkBZY66,ZZ Top,0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145
ZITTI E BUONI,776AftMmFFAWUIEAb3lHhw,Måneskin,0.625,0.939,4,-3.115,0,0.0669,0.00138,0.0,0.424,0.644,102.999
Interstate Love Song - 2019 Remaster,6qLEOZvf5gI7kWE63JE7p3,Stone Temple Pilots,0.215,0.927,9,-7.327,1,0.0452,0.000273,0.00661,0.126,0.49,170.814
Down Under,3ZZq9396zv8pcn5GYVhxUi,Men At Work,0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115
Breaking the Law,2RaA6kIcvomt77qlIgGhCT,Judas Priest,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019
Master of Puppets (Remastered),54bm2e3tk8cliUz3VSdCPZ,Metallica,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25
The Joker,1bp2IO61zbQrbWNmKKxg3f,Steve Miller Band,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293
The Beautiful People,2aIB1CdRRG7YLBu9hNw9nR,Marilyn Manson,0.621,0.834,10,-10.068,0,0.0557,0.000779,0.456,0.0611,0.937,143.973
Paranoid - 2012 - Remaster,1Y373MqadDRtclJNdnUXVc,Black Sabbath,0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071
"Footloose - From ""Footloose"" Soundtrack",2vz1CsL5WBsbpBcwgboTAw,Kenny Loggins,0.583,0.905,2,-6.132,1,0.0733,0.0984,0.00019,0.0593,0.646,173.982
Poison,5XcZRgJv3zMhTqCyESjQrF,Alice Cooper,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698
Break on Through (To the Other Side),6ToM0uwxtPKo9CMpbPGYvM,The Doors,0.421,0.751,9,-9.584,1,0.0472,0.2,0.0,0.17,0.789,89.839
Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,Queen,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975
Still Loving You,0RdUX4WE0fO30VnlUbDVL6,Scorpions,0.282,0.605,6,-4.916,0,0.0294,0.0047,0.00144,0.103,0.0783,103.929
Walk On the Wild Side,5p3JunprHCxClJjOmcLV8G,Lou Reed,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522
Could Have Been Me,3IyCL4Em1GOpNGDf451Hg1,The Struts,0.541,0.907,4,-4.512,1,0.0642,0.0158,0.000185,0.34,0.434,80.029
The Passenger,15BQ7vEDv2LJuh8TxWIhtd,Iggy Pop,0.498,0.889,0,-5.413,1,0.0546,0.0947,1.62e-06,0.733,0.696,134.88
Black Dog - Remaster,3qT4bUD1MaWpGrTwcvguhb,Led Zeppelin,0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394
White Wedding - Pt. 1,1gzIbdFnGJ226LTl0Cn2SX,Billy Idol,0.673,0.814,9,-5.411,1,0.0367,0.0133,0.00293,0.343,0.728,147.193
Riders on the Storm,14XWXWv5FoCbFzLksawpEe,The Doors,0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886
Gimme All Your Lovin',0OBwxFLu6Yj61s2OagYbgY,ZZ Top,0.63,0.788,5,-6.7,1,0.0298,0.00322,0.0237,0.0883,0.63,120.059
Rock You Like A Hurricane,58XWGx7KNNkKneHdprcprX,Scorpions,0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697
Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,Queen,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883
White Rabbit,4vpeKl0vMGdAXpZiQB2Dtd,Jefferson Airplane,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798
Don't Stop Believin',77NNZQSqzLNqh2A9JhLRkg,Journey,0.491,0.802,4,-7.106,1,0.0392,0.25,0.0,0.387,0.472,119.25
Black Betty,6kooDsorCpWVMGc994XjWN,Ram Jam,0.465,0.907,11,-6.404,0,0.113,0.0241,0.00118,0.13,0.681,117.293
The Sound of Silence,0eZBeB2xFIS65jQHerispi,Disturbed,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794
Take Me To Church,7dS5EaCoMnN7DzlpT6aRn2,Hozier,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945
Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,Mike Posner,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965
See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558
Pompeii,3gbBpTdY8lnQwqxNCcf795,Bastille,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435
Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024
Hall of Fame (feat. will.i.am),7wMq5n8mYSKlQIGECKUgTX,The Script,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786
Back Where I Belong (feat. Avicii),78W8wiUIlQ2SnWY9TVowKZ,Otto Knows,0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96
The Heart Wants What It Wants,2jcPoPin36hyNRSi4ZsqeB,Selena Gomez,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066
Dynamite,2CEgGE6aESpnmtfiZwYlbV,Taio Cruz,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975
Bumpy Ride,0tBRo4P60DgKmg4jt48upm,Mohombi,0.709,0.854,0,-4.447,0,0.0399,0.047,0.0,0.0724,0.826,105.074
Danza Kuduro (feat. Don Omar),1kAZhbcsXqfUjnVeqPywn2,Lucenzo,0.706,0.89,0,-6.575,1,0.0847,0.0855,0.0,0.0465,0.896,130.051
Syypää sun hymyyn (feat. Yasmine Yamajako),2N2QvMYwyYHE8V4KZbbG4i,Cheek,0.472,0.815,9,-4.002,0,0.319,0.171,0.0,0.265,0.81,98.017
Whistle,0ltBH1JNzSvQJPjJpvTu9B,Flo Rida,0.754,0.933,0,-5.786,1,0.0448,0.0199,0.0,0.297,0.75,103.992
Girlfriend,5HbCnVLXRyZVxnreOPgJCK,Avril Lavigne,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983
Baby,4NFhtFE68cXUrfbne8JE2c,Justin Bieber,0.463,0.854,8,-5.386,1,0.32,0.0428,0.0,0.0922,0.567,65.038
I Cry,5HE3z4Ew7wZ91l3ZOpGKa4,Flo Rida,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035
Coconut Tree,5L9THbmMKB6ZlHlMgzaXHf,Mohombi,0.687,0.855,7,-5.341,0,0.0416,0.0486,0.0,0.233,0.647,130.029
One Less Lonely Girl,7qUcqYzOtfZe65bednDxmz,Justin Bieber,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938
Romeo ja Julia (feat. Sophie),0seHreoI3kwp38OlEgLLnT,Pikku G,0.695,0.628,11,-6.498,0,0.0442,0.0539,0.0,0.32,0.529,144.114
Don't You Worry Child - Radio Edit,5DcPOPPUnNhyPYbTi2aWjR,Swedish House Mafia,0.608,0.828,2,-3.597,1,0.051,0.125,0.0,0.113,0.484,128.919
Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078
She Wolf (Falling to Pieces) [feat. Sia],1HfPcQ3c2HyGeID3u1lmCa,David Guetta,0.491,0.857,7,-2.634,1,0.0656,0.0834,7.57e-06,0.344,0.395,129.971
Radioactive,6Ep6BzIOB9tz3P4sWqiiAB,Imagine Dragons,0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,0.21,136.249
Whistle,3bC1ahPIYt1btJzSSEyyrF,Flo Rida,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.739,103.976
I Need Your Love (feat. Ellie Goulding),05SBRd4fXgn8FX7bf8BCAE,Calvin Harris,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989
Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,Pitbull,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992
Scream & Shout,2iJuuzV8P9Yz0VSurttIV5,will.i.am,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033
Wake Me Up - Radio Edit,6g1NlCpW7fgqDnWbCCDrHl,Avicii,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08
Thrift Shop (feat. Wanz),4YMqbFcDIFiCBd02PzUBcM,Macklemore & Ryan Lewis,0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992
Play Hard (feat. Ne-Yo & Akon),5YPMEOJ58kfl56VHxTgwx3,David Guetta,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072
Superheroes,37sINbJZcFdHFAsVNsPq1i,The Script,0.49,0.885,3,-4.121,1,0.0396,0.00218,0.0,0.0741,0.64,166.996
I Cry,3zrYNl1aMdFrQkcOjKVr5u,Flo Rida,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035
Counting Stars,1QzFhzIOW7CyRJLpmq5CM0,OneRepublic,0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014
Gangnam Style (강남스타일),1R2SZUOGJqqBiLuvwKOT2Y,PSY,0.727,0.938,11,-2.872,0,0.288,0.00432,0.0,0.0911,0.757,132.077
Feel This Moment (feat. Christina Aguilera),4yOn1TEcfsKHUJCL2h1r8I,Pitbull,0.668,0.758,7,-3.589,1,0.158,0.0338,0.0,0.204,0.531,135.958
Capsize,3GBlLqIYgB8zWaeWDNJzdh,FRENSHIP,0.681,0.708,5,-6.019,0,0.0304,0.042,0.14,0.682,0.356,92.993
Magical,43lwHSTEexXRVVeXZtAtfi,Tungevaag,0.504,0.912,1,-2.867,1,0.259,0.199,0.0,0.105,0.248,189.983
Bleeding Love,6LtPIXlIzPOTF8vTecYjRe,Leona Lewis,0.635,0.647,5,-5.864,1,0.0366,0.192,0.0,0.154,0.201,104.058
Drop That Low (When I Dip),48kF7W23OIcVBsNY5UesuQ,Tujamo,0.579,0.896,5,-4.132,0,0.373,0.00945,0.836,0.121,0.103,125.672
Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1,Jonas Blue,0.742,0.819,1,-5.307,1,0.0487,0.372,0.0,0.277,0.709,117.986
Thinking About You,3eBwnjEe60kDJAMlFg1ewf,Axwell /\ Ingrosso,0.69,0.811,8,-5.475,1,0.058,0.044,0.0,0.205,0.521,122.001
Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,Joel Adams,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264
Lions in the Wild,6F1kPSgdnlSzZRfskE9vaV,Martin Garrix,0.504,0.847,7,-6.81,0,0.0442,0.00434,0.0,0.816,0.28,127.854
Never Be Like You,12REd1n8PeiHHWOh066tpr,Flume,0.494,0.559,0,-5.445,1,0.0565,0.436,0.0,0.164,0.264,119.247
Treat You Better,53B2XmmjJ9rriW1qciMBeX,Shawn Mendes,0.45,0.825,10,-4.066,0,0.372,0.121,0.0,0.109,0.742,82.823
Heathens,6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
Send My Love (To Your New Lover),3KZcrZ36LW9RnChK1iIkth,Adele,0.688,0.532,6,-8.361,0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068
When We Were Young,0cj2joJcY6b4XSRfj2eZOl,Adele,0.377,0.595,3,-5.936,1,0.0489,0.303,0.0,0.095,0.264,144.464
Someone Like You,6QPKYGnAW9QozVz2dSWqRg,Adele,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047
Set Fire to the Rain,5PKWUDfQFtc5qqo8cs1gQp,Adele,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995
Apologize,1NrJYpdAi7uosDRPmSYrsG,OneRepublic,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008
Onnelliseksi,6hvNLxrHBdR1qzdrKasCPE,Juju,0.645,0.434,0,-7.791,1,0.0399,0.00187,0.00226,0.124,0.249,100.01
I See Fire,5pY3ovFxbvAg7reGZjJQSp,Ed Sheeran,0.641,0.176,6,-11.692,1,0.0349,0.638,5.14e-06,0.252,0.297,76.031
Chasing Cars,11bD1JtSjlIgKgZG2134DZ,Snow Patrol,0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016
Say Something,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284
Go Hard or Go Home,2QJnTfMpNG05KFf2E3gVIJ,Wiz Khalifa,0.651,0.741,4,-5.067,0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02
Läikkyy,1gou2U6ZcLKXLBC3MYVtEu,Arttu Lindeman,0.669,0.846,4,-3.976,0,0.156,0.15,0.0,0.154,0.793,150.014
1972,4htrHrq1AB38vprDEha0hv,Anssi Kela,0.542,0.644,3,-6.196,1,0.0961,0.0219,0.0,0.138,0.545,153.972
Toxic,26nr9XnFCYWxBTIP7HyWXg,Britney Spears,0.774,0.839,5,-3.948,0,0.114,0.027,0.0166,0.252,0.923,142.985
Älä herätä mua unesta,02RaNOB5CIiXAhgvLE6Xp0,Mikael Gabriel,0.656,0.675,1,-7.455,1,0.0457,0.119,0.0,0.0925,0.353,126.889
Spaceman,3PfG2rMOU9HglycfbIC4yM,Aste,0.737,0.95,6,-2.522,0,0.0611,0.017,0.0,0.233,0.968,127.0
Only One,1ttYNQjND5nBtUnpNMlLQQ,Aste,0.578,0.839,2,-3.806,1,0.0755,0.000649,0.0,0.0708,0.509,121.995
Come & Get It,5U2m76qAMdr3gXI0g6ptlG,Selena Gomez,0.349,0.795,7,-4.133,0,0.0758,0.0102,0.000138,0.0812,0.542,148.985
Wherever I Go,7kUtJKGZzLNgIkq1Galkt0,OneRepublic,0.543,0.691,10,-6.403,0,0.0425,0.107,0.0,0.218,0.335,100.014
Heatwave (feat. Akon),2KMJ5CoxY4ECG9TZyNWmpv,Robin Schulz,0.702,0.82,7,-4.323,0,0.063,0.196,0.0,0.156,0.52,107.936
Hubba Bubba,2hQVEDz4hG8RGmzSPKTDrT,Teflon Brothers,0.68,0.847,11,-6.439,1,0.0353,0.000755,0.0,0.159,0.792,136.039
I'm In Control,16NOHRm0OEjmg55OZAxVmV,AlunaGeorge,0.734,0.847,11,-3.713,0,0.0346,0.355,0.000144,0.154,0.673,104.013
